_id,_name,_shortName,_kana,_artist,_detailInfo,_dictionaryReference,_dictionaryComment,_bandCategory,_masterGroupId,_jacketImageName,_masterBgmId,_previewMasterBgmId,_locked,_obtainType,_isAcLevelMusic,_releaseDateTime,_masterReleaseLabelId
1123,我們是合而為一的光芒,我們是合而為一的光芒,ホクタチハヒトツノヒカリ,μ's,作詞：畑亞貴<br>作曲：ZAQ<br>編曲：EFFY,劇場版『LoveLive!The School Idol Movie』插入曲,歌曲詞に隠れている成員の名前が指す通り、はじめはμ'sのことを指していた「僕たち」が、最後にはμ'sを囲むみんなに廣がり、そして旅立ちの時を迎える。「今が最高！」と叫んだ氣持ちは一生忘れられない。<br>,1,100,jacket_1123,31001123,32001123,0,0,0,2015/07/15,1
1124,我們活在當下,我們活在當下,ホクラハイマノナカテ,μ's,作詞：畑 亞貴<br>作曲・編曲：森慎太郎,TV動畫『LoveLive!』1期　OP主題歌曲,TV動畫「LoveLive!」1期OP主題歌曲。いつでも背中を押してくれる力強い歌曲詞が一度聞いたら忘れられない。初の動畫化にふさわしく、壮大かつ王道なストリングスとパワフルなギターが絡みあうクラシック作品。	,1,100,jacket_1124,31001124,32001124,0,0,0,2013/01/23,1
1126,沒有夢想的夢不是夢,沒有夢想的夢不是夢,ユメナキユメハユメシヤナイ,高坂穗乃果(CV.新田恵海),作詞：畑 亞貴<br>作曲・編曲：高田 暁,,穗乃果の代名詞「ファイトだよ！」で始まる「らしさ」の詰まった應援歌曲。軽快で突き動かされるようなサウンドが勇氣をくれる。演唱會では自転車でアリーナを回った姿も印象的だった。<br>,1,190,jacket_1126,31001126,32001126,0,0,0,2013/03/22,1
1127,勇氣的理由,勇氣的理由,ユウキノリイスン,園田海未(CV.三森すずこ),作詞：畑 亞貴<br>作曲・編曲：増谷 賢,,落ち着いた印象のある海未の意外な一面を表した元氣満点ロック。少し引いた位置から應援していたはずの優等生がいつの間にか學園偶像に夢中になっていく姿を想像させる曲。<br>,1,190,jacket_1049,31001127,32001127,0,0,0,2012/07/25,1
1128,友情不變,友情不變,ユウシヨウノオチエンシ,μ's,作詞：畑 亞貴<br>作曲・編曲：Tron-LM,,μ's 1st單曲カップリング。演唱會ではサビのフリをみんなで合わせることで大きな一體感が生まれた。TV動畫2期11話でのBGMとしても使用された。「友情」をテーマにした歌曲詞にドラムマシンの音色も相まって清爽的テクノポップ樂曲となっている。 ,1,100,jacket_1001,31001128,32001128,0,0,0,2010/08/25,1
1129,因為是在暴風雨中的戀愛,因為是在暴風雨中的戀愛,アラシノナカノコイタカラ,μ's,作詞：畑 亞貴<br>作曲・編曲：酒井陽一,スマートフォンゲーム『LoveLive!學園偶像フェスティバル』コラボ單曲,革命前夜の戰火の中にある前時代的な設定のミュージカルのような樂曲。結ばれることのない男女が来世や夢の中での逢瀨を期待するような少し芝居がかった歌曲詞や歌曲い方に注目すると、また違った樂しみ方ができる。<br>,1,100,jacket_1021,31001129,32001129,0,0,0,2015/10/28,1
1130,戀愛的信號 叮鈴叮鈴叮！,戀愛的信號 叮鈴叮鈴叮！,コイノシクナルリンリンリン,星空 凜(CV.飯田里穗),作詞：畑 亞貴<br>作曲：須田真吾<br>編曲：安藤高弘,,女の子らしさに目覺めたばかりで自分のなかの「シグナル」に戸惑っている初々しい歌曲詞がとても可愛らしい一曲。今すぐ走り出したくなるような軽快さを演出するビートとギターのハーモニーと、ふとしたときに聞こえてくるベルの音色がたのしい。<br>,1,190,jacket_1030,31001130,32001130,0,0,0,2012/04/25,1
1131,開始：衝刺！！,開始：衝刺！！,スタアトタツシユ,"高坂穗乃果(CV.新田恵海) , 南小鳥(CV.内田 彩) ,  園田海未(CV.三森すずこ)",作詞：畑 亞貴<br>作曲・編曲：佐々木裕 ,TV動畫『LoveLive!』1期　第3話插入曲,TV動畫「LoveLive!」1期插入曲。積極樂觀な歌曲詞でありながら、サビで感じるノスタルジックさが印象的。TV動畫1期3話(2年生3人でのμ's初演唱會Ver.)とTV動畫1期13話(μ's 9人での歌曲唱Ver.)で歌曲われるμ'sの步みを感じることができるTV動畫1期の集大成的な樂曲。 ,1,199,jacket_1075,31001131,32001131,0,0,0,2013/02/20,1
1132,雪色光暈（SIFAC）,雪色光暈（SIFAC）,スノオハレエシヨン,μ's,作詞：畑 亞貴<br>作曲：山田高弘<br>編曲：中西亮輔,TV動畫『LoveLive!』2期　第9話插入曲,アーティスト「μ's」として初めて發賣された2nd單曲。TV動畫『LoveLive!』2期 第9話では成員の「大好き」を歌曲に乗せたように、演唱會では大サビで一斉にラブ演唱會レードの色をオレンジに変えるのが定番になっている。,1,100,jacket_1048,31001132,32001132,0,0,1,2010/12/22,224012901
1133,我們活在當下（SIFAC）,我們活在當下（SIFAC）,ホクラハイマノナカテ,μ's,作詞：畑 亞貴<br>作曲・編曲：森慎太郎,TV動畫『LoveLive!』1期　OP主題歌曲,TV動畫「LoveLive!」1期OP主題歌曲。いつでも背中を押してくれる力強い歌曲詞が一度聞いたら忘れられない。初の動畫化にふさわしく、壮大かつ王道なストリングスとパワフルなギターが絡みあうクラシック作品。	,1,100,jacket_1124,31001133,32001133,0,0,1,2013/01/23,224012901
1134,音樂 開始！！（SIFAC）,音樂 開始！！（SIFAC）,ミユウシツクスタアト,μ's,作詞：畑 亞貴<br>作曲・編曲：山口朗彦,,μ'sがステージに上がる前の掛け聲を想起する曲名の樂曲。みんなで踊れるサビの振り付けにハマった人も多いはず。PVのパジャマは實はTV動畫『LoveLive!』2期12話にも登場している。<br>,1,100,jacket_1033,31001134,32001134,0,0,1,2013/11/27,224012901
1135,夢想之門（SIFAC）,夢想之門（SIFAC）,ユメノトヒラ,μ's,作詞：畑 亞貴<br>作曲・編曲：佐伯高志,TV動畫『LoveLive!』2期　第3話插入曲,誰もが探しているけど見つからない「夢の扉」を探すみんなの背中を押すような樂曲。,1,100,jacket_1095,31001135,32001135,0,0,1,2014/05/28,224012901
1136,天使般的天使（SIFAC）,天使般的天使（SIFAC）,エンシエリツクエンシエル,μ's,作詞：畑亞貴<br>作曲：森慎太郎<br>編曲：倉内達矢,劇場版『LoveLive!The School Idol Movie』插入曲,劇場版「LoveLive!The School Idol Movie」插入曲。NYの夜景をバックに和風の衣装で踊る姿が印象的な樂曲。哀愁ただようギターソロと柔らかいドラムの今までの作品にない組み合わせがμ'sの新しい挑戰を象徴している。	,1,100,jacket_1007,31001136,32001136,0,0,1,2015/07/01,224012901
1137,你好，數著星星（SIFAC）,你好，數著星星（SIFAC）,ハロオホシヲカソエテ,"星空 凜(CV.飯田里穗) , 西木野真姬(CV.Pile) , 小泉花陽(CV.久保ユリカ)",作詞：畑 亞貴<br>作曲・編曲：山口朗彦,劇場版『LoveLive!The School Idol Movie』插入曲,劇場版「LoveLive!The School Idol Movie」插入曲。一年生組(まきりんぱな)の可愛らしさが全面にあらわれた樂曲。目の前の不安を吹き飛ばす積極向前な歌曲詞とジャジーで可愛らしい音色の相性も際立っている。,1,199,jacket_1007,31001137,32001137,0,0,1,2015/07/01,224012901
1138,我們是合而為一的光芒（SIFAC）,我們是合而為一的光芒（SIFAC）,ホクタチハヒトツノヒカリ,μ's,作詞：畑亞貴<br>作曲：ZAQ<br>編曲：EFFY,劇場版『LoveLive!The School Idol Movie』插入曲,歌曲詞に隠れている成員の名前が指す通り、はじめはμ'sのことを指していた「僕たち」が、最後にはμ'sを囲むみんなに廣がり、そして旅立ちの時を迎える。「今が最高！」と叫んだ氣持ちは一生忘れられない。<br>,1,100,jacket_1123,31001138,32001138,0,0,1,2015/07/15,224012901
1139,超能力之火（SIFAC）,超能力之火（SIFAC）,サイキツクフアイヤ,BiBi,作詞：畑 亞貴<br>作曲・編曲：森慎太郎,スマートフォンゲーム『LoveLive!學園偶像フェスティバル』コラボ單曲,「にこ、真姬、エリーチカ！」、BiBiパワーパート、にこによるBiBiコールなど、これまでの演唱會で行われてきたあらゆるBiBi要素の詰まった集大成的な曲。演唱會でもBiBiの３人がはしゃいで會場中を巻き込んで盛り上がった。,1,103,jacket_1110,31001139,32001139,0,0,1,2016/01/20,224012901
1140,瞬間之環（SIFAC）,瞬間之環（SIFAC）,モオメントリンク,μ's,作詞：畑 亞貴<br>作曲・編曲：高田 暁,,μ's 最後の單曲。μ’sの活動の締めくくりとなる集大成的樂曲。原点回歸とも言える王道のLoveLive!らしさを中心におきながらもラップパートなど新しい要素も打ち出している。,1,100,jacket_1031,31001140,32001140,0,0,1,2016/03/02,224012901
2001,夏澤莉亞☆親吻☆噠噠噹,夏澤莉亞☆親吻☆噠噠噹,シヤセリアキツスタタンタアン,シャゼリア☆キッス,作詞：畑 亞貴<br>作曲・編曲：河田貴央,,20XX年、Aqours成員がユニット演唱會ツアーを巡っている中、混沌に疲れ切っていた人々の希望となるべく突如現れた正體不明の9人組を象徴する樂曲。成員曰く「Aqours」と「シャゼリア☆キッス」は全くの別人とのこと。,2,299,jacket_2001,31002001,32002001,0,0,0,2020/05/08,1
2002,喜歡給你，夢想給你！,喜歡給你，夢想給你！,スキフオユウトリイムフオユウ,Aqours,作詞：畑 亞貴<br>作曲：渡邊拓也<br>編曲：渡邊拓也,LoveLive!サンシャイン!! 動畫ーションPV付き單曲,素直に｢好き(SUKI)」を傳えたいという氣持ちを歌曲にしたストレートな樂曲。6th演唱會では特殊イントロと共に千歌曲の｢みんな〜｣の聲からAqours全員で｢だ〜いすき！｣と傳える姿にはAqours成員からの愛を受け取ったファンはみな、心を打たれた。<br>,2,200,jacket_2146,31002002,32002002,0,0,0,2021/09/22,1
2003,在淚水化為雪之前,在淚水化為雪之前,ナミタカユキニナルマエニ,"松浦果南(CV.諏訪ななか) , 小原鞠莉(CV.鈴木愛奈)",作詞：畑 亞貴<br>作曲・編曲：山元祐介,LoveLive!サンシャイン!! デュオトリオコレクションCD VOL.2 WINTER VACATION,互いを思い合うからこそ「心配させたくない」と辛いことを飲み込む心情を描いた曲。「溜息が白く揺れてる」などから冬の季節を想わせ、「いつまでも一緒にいたい この想いは変わらない」の歌曲詞を3年生のふたりが歌曲うことによって少し切なさを感じさせる。,2,299,jacket_2015,31002003,32002003,0,0,0,2020/12/09,1
2004,雨後,雨後,アフタアサレイン,Saint Snow,作詞：畑 亞貴<br>作曲・編曲：R・O・N,Saint Snow 1st 單曲 C/W 曲,土砂降りの夜からまぶしい朝の光に変わる風景が思い浮かべられる、Saint Snowとしては新境地となる本格バラード。殘された時間に向き合う姿、挫折から立ち直る姿がそれぞれのソロパートで歌曲われている。<br>,2,204,jacket_2132,31002004,32002004,0,0,0,2020/08/19,1
2005,故鄉愛衝刺！,故鄉愛衝刺！,シモアイタツシユ,Aqours,"作詞：畑 亞貴<br>作曲：TAKAROT , Carlos K.<br>編曲：小松一也",Aqours 5th Anniversary 地元愛！Take Me Higher Project 主題曲CD,デュオトリオ第1彈で生まれた｢地元愛｣というフレーズと振り付けそのままに生まれた本格ユーロビート樂曲。PVの衣装やルーズソックスなどの小物からパラパラのダンスが流行っていた頃のクラブシーンを思わせる。<br>,2,200,jacket_2005,31002005,32002005,0,0,0,2020/08/26,1
2006,孤獨雪之星球,孤獨雪之星球,ロンリイスノウフラネツト,Saint Snow,作詞：畑 亞貴<br>作曲・編曲：馬渕直純,Saint Snow 1st 單曲 C/W 曲,サビでの掛け聲でオーディエンスと一體となり盛り上がる、Saint Snow節全開の本格ハードロックナンバー。2人らしく「次なる世界」｢次なる未来｣など、強氣に前へ進む姿が伺える樂曲。<br>,2,204,jacket_2132,31002006,32002006,0,0,0,2020/08/19,1
2007,派對！派對！啪啪啪啪派對！,派對！派對！啪啪啪啪派對！,ハアテイハアテイハハハハアテイ,"高海千歌(CV.伊波杏樹) , 黑澤黛雅(CV.小宮有紗) , 津島善子(CV.小林愛香)","作詞：畑 亞貴<br>作曲：中村 步 , 菊池博人<br>編曲：中村 步 , 菊池博人",LoveLive!サンシャイン!! デュオトリオコレクションCD VOL.2 WINTER VACATION,LoveLive!サンシャイン!! Aqours浦の星女學院RADIO!!!でパーソナリティを務めていた3人によるユニット曲。3人でトークを彈ませている時のわちゃわちゃとマッチした樂しい曲調と、3人の暱稱である「ぐ〜りんぱ」のフレーズが印象的。,2,299,jacket_2015,31002007,32002007,0,0,0,2020/12/09,1
2008,永不放棄！,永不放棄！,ネウアキヒンクアツフ,高海千歌 (CV.伊波杏樹),作詞：畑 亞貴<br>作曲・編曲：EFFY(FirstCall),Aqours First Solo Concert Album LoveLive! Sunshine!! Takami Chika First Solo Concert Album ～One More Sunshine Story～,「Takami Chika First Solo Concert Album ～One More Sunshine 劇情～」収録曲。勇氣がもらえる歌曲詞にブロードウェイミュージカルを彷彿とさせるスウィングジャズ。誰もが主人公になれるようなワクワクする樂曲。,2,290,jacket_2008,31002008,32002008,0,0,0,2020/08/01,1
2009,心之魔法「A 到 Z」,心之魔法「A 到 Z」,ココロマシツクエエトウスイ,Aqours,作詞：畑 亞貴<br>作曲・編曲：EFFY(FirstCall),スマートフォン向けアプリ『LoveLive!學園偶像フェスティバルALL STARS』コラボ單曲,異國情緒あふれる曲調やエスニックな衣装が印象的なダンスチューン。普段の何ら変わらない日常のなかでも｢踏み出す勇氣｣や｢トキメキの種｣などきっかけひとつがあれば物事は大きく変わるよというメッセージを与えてくれる。<br>,2,200,jacket_2009,31002009,32002009,0,0,0,2019/10/30,1
2010,心之羽啊，飛向你吧！,心之羽啊，飛向你吧！,ココロノハネヨキミヘトンテケ,Aqours,"作詞：畑 亞貴<br>作曲：TAKAROT , イワツボコーダイ<br>編曲：TAKAROT",Aqours5周年記念動畫ーションPV付き單曲,夕暮れから夜にかけての祭りの後の静けさを思わせる樂曲。この曲に出てくる「心の羽」という言葉で様々な感情を表している。6th演唱會＜WINDY STAGE＞では「浦の星交響樂団」の演奏と共に披露された。,2,200,jacket_2133,31002010,32002010,0,0,0,2021/03/31,1
2011,突然女孩,突然女孩,トツセンカアル,渡邊曜(CV.斉藤朱夏),作詞：畑 亞貴<br>作曲・編曲：渡邊泰司,Aqours First Solo Concert Album LoveLive! Sunshine!! Watababe You First Solo Concert Album ～Beginner’s Sailing～,晴れた日に突然、曜が千歌曲と梨子に會いたくなったので會いに行くといった様子が曜要素たっぷりに描かれた曲。演唱會で披露された際は最後に「今終わったから待っててねー！」と言った後に舞臺から飛び降りるという大胆なパフォーマンスに會場はどよめいた。,2,290,jacket_2011,31002011,32002011,0,0,0,2021/04/17,1
2012,完美世界,完美世界,ハアフエクトセカイ,黑澤黛雅(CV.小宮有紗),"作詞：畑 亞貴<br>作曲：杉山勝彦 , ulala<br>編曲：ulala",Aqours First Solo Concert Album LoveLive! Sunshine!! Kurosawa Dia First Solo Concert Album ～WHITE FIRST LOVE～,和のテイスト、かっこよさ、赤と黑ベースで描かれたMVなどから「黑澤黛雅のいい所を全て詰め込んだ」印象を受けた樂曲。演唱會で披露した際には刀を用いた剣舞を披露しつつの歌曲唱でファンを魅了し驚かせた。,2,290,jacket_2012,31002012,32002012,0,0,0,2021/01/01,1
2013,憧憬 啦啦啦,憧憬 啦啦啦,アコカレランララン,國木田花丸(CV.高槻かなこ),作詞：畑 亞貴<br>作曲：INN<br>編曲：増田武史,Aqours First Solo Concert Album LoveLive! Sunshine!! Kunikida Hanamaru First Solo Concert Album ～おやすみなさん！～,「ステキだな でも自分には無理かな」や「もっと可愛くなりたい」などから花丸の素直な心情が現れ、そこから「やってみよう」のワードが多く使われていることから彼女の成長が感じられる樂曲。,2,290,jacket_2013,31002013,32002013,0,0,0,2021/03/04,1
2014,再更多一點！,再更多一點！,モツトネ,松浦果南(CV.諏訪ななか),"作詞：畑 亞貴<br>作曲：KanataOkajima , pw.a<br>編曲：pw.a",Aqours First Solo Concert Album LoveLive! Sunshine!! Matsuura Kanan First Solo Concert Album ～さかなかなんだか？～,「一緒にいたい」「遠くたってどこかが繋がってるよ」などのワードは3年生の卒業と重なる。離れる前に前に仲良しの「みんな」といまは「本氣で遊びたい」そんな氣持ちが現れたポップなEDMとなっている。,2,290,jacket_2014,31002014,32002014,0,0,0,2021/02/10,1
2015,心情與夢想都是一樣的呢！,心情與夢想都是一樣的呢！,キモチモユメモイツシヨタネ,"國木田花丸(CV.高槻かなこ) , 黑澤露比(CV.降幡 愛)",作詞：畑 亞貴<br>作曲・編曲：本田光史郎,LoveLive!サンシャイン!! デュオトリオコレクションCD VOL.2 WINTER VACATION,「夢」を「溶ける雪」に例えて形あるうちに追いかけようという氣持ちを歌曲った曲。さらに「あのさ…1人でもできるけど 2人がもっといいな」の歌曲詞が露比と花丸の関係性を表している。,2,299,jacket_2015,31002015,32002015,0,0,0,2020/12/09,1
2016,一顆星,一顆星,ワンスタア,黑澤露比(CV.降幡 愛),作詞：畑 亞貴<br>作曲・編曲：田中マッシュ,Aqours Second Solo Concert Album LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Kurosawa Ruby,オルゴールのような鉄琴の音色の第一音で惹き込まれる、露比の魅力が曲全體的に表された可愛らしいバラード。タイトルどおりの｢ひとつキラリとゆれた星｣に切に願う氣持ちが描かれている樂曲。<br>,2,290,jacket_2016,31002016,32002016,0,0,0,2021/09/21,1
2017,奔跑×奔跑,奔跑×奔跑,ランカケルラン,松浦果南(CV.諏訪ななか),作詞：畑 亞貴<br>作曲・編曲：高田 暁,Aqours Second Solo Concert Album LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Matsuura Kanan,スポーツマンの果南らしく砂浜を走る姿をテーマとして、真っ直ぐな心情が描かれている樂曲。Aqoursらしい「海」をモチーフにした歌曲詞も多く出てくる、さわやかで涼しげなポップナンバー。<br>,2,290,jacket_2017,31002017,32002017,0,0,0,2022/02/10,1
2018,盾矛之翼,盾矛之翼,タテホコツハサ,津島善子(CV.小林愛香),作詞：畑 亞貴<br>作曲・編曲：渡邊和紀,Aqours First Solo Concert Album LoveLive! Sunshine!! TsushimaYoshiko First Solo Concert Album ～in this unstable world～,普段の善子のかっこよさ満載の歌曲い方とは打って変わって、キュートさが全面に押し出されているカワイイテクノポップ。MVはPC画面内に夜羽モチーフのゲームや夜羽の生配信などの様子がカラフルに映し出される。<br>,2,290,jacket_2018,31002018,32002018,0,0,0,2021/07/13,1
2019,涙×,涙×,ナミタシヤナイ,Aqours,作詞：畑 亞貴<br>作曲・編曲：山口朗彦,Aqours ベスト專輯 LoveLive!サンシャイン!! Aqours CHRONICLE(2018～2020),ベスト盤「Aqours CHRONICLE(2018～2020)」に新曲として書き下ろされた樂曲。｢涙×｣と書いて｢なみだじゃない｣と讀む。過ぎ去っていく日々を惜しみながらも新たな出會いから先へ進む前の姿が歌曲われている積極向前なバラード。,2,200,jacket_2019,31002019,32002019,0,0,0,2021/10/07,1
2020,呀！行雲流水！？,呀！行雲流水！？,ヤアコウウンリユウスイ,國木田花丸(CV.高槻かなこ),作詞：畑 亞貴<br>作曲・編曲：白須賀 悟,Aqours Second Solo Concert Album LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Kunikida Hanamaru,困難があってもなるがままにやっていこう(行雲流水)の氣持ちが現れた花丸らしい樂曲。ゆったりとした曲調に揺られるように步きながら、ふと立ち止まって深呼吸。そんな休日を過ごしながら聴きたい。,2,290,jacket_2020,31002020,32002020,0,0,0,2022/03/04,1
2021,無論多少次都約定！,無論多少次都約定！,ナントタツテヤクソク,Aqours,"作詞：畑 亞貴<br>作曲：TAKUYA , MEG , Kanata Okajima<br>編曲：本間昭光",Aqours 6th LIVE ＜WINDY STAGE＞ 主題曲CD,Aqours成員の困難があってもミライを見つめて進む姿とファンとの再開の約束を思わせる曲。6th演唱會の冒頭で歌曲われた他、公演の最後の最後にはダブルアンコールで浦の星交響樂団を引き連れ披露されファンを感動に包んだ。<br>,2,200,jacket_2021,31002021,32002021,0,0,0,2022/04/13,1
2022,鳳凰之舞,鳳凰之舞,フエニツクスタンス,AZALEA,"作詞：畑 亞貴<br>作曲：山田龍平 , YU-G<br>編曲：山田龍平",LoveLive!サンシャイン!! AZALEA 1stフル專輯 C/W 曲,いつものおしとやかなAZALEAとは一転、「高まり」｢燃える｣などの歌曲詞を交えたダンスミュージック。｢躊躇いなんか捨てましょう｣｢なにもかも超えて飛んでしまえ」など大胆なAZALEAに魅了される1曲。<br>,2,202,jacket_2023,31002022,32002022,0,0,0,2021/06/23,1
2023,我們會抓住下一個夢想！！！,我們會抓住下一個夢想！！！,ウイイルケツトサネクストトリイム,AZALEA,作詞：畑 亞貴<br>作曲・編曲：山田龍平,LoveLive!サンシャイン!! AZALEA 1stフル專輯,イントロのセリフからAZALEA3人の勇ましい姿が浮かび上がり、次の夢への決意について歌曲いあげる。激しいドロップもあり、テクノポップユニットのAZALEAの樂曲のなかでも一番ハードなサウンドとなっている。<br>,2,202,jacket_2023,31002023,32002023,0,0,0,2021/06/23,1
2024,龍騎士,龍騎士,トラコンライタアス,CYaRon！,"作詞：畑 亞貴<br>作曲：TAKUYA , ミト (クラムボン)<br>編曲：ミト",LoveLive!サンシャイン!! CYaRon！1stフル專輯 C/W 曲,香港のカンフー電影を彷彿とさせる元氣さあふれる樂曲。二胡や銅鑼といった特有の樂器の音色と、演唱會でのチャイナドレス衣装が印象的だった。〆の｢アチョー｣のフレーズが｢シャロ〜ン｣になっている部分はなんとも耳に殘る。<br>,2,201,jacket_2153,31002024,32002024,0,0,0,2021/06/02,1
2025,變形,變形,メタモルフイスム,AZALEA,作詞：畑 亞貴<br>作曲・編曲：TO-me,LoveLive!サンシャイン!! AZALEA 1stフル專輯 C/W 曲,蝶が蛹から空へ飛び立つように、殻に閉じこもっていないでいろいろ挑戰してみようとメッセージをくれるFuture Bass調のミディアムチューン。變形の中には｢変化｣や｢変身｣の意味が込められている。<br>,2,202,jacket_2023,31002025,32002025,0,0,0,2021/06/23,1
2026,革命的口哨,革命的口哨,ホイッスルオブレボリューション,CYaRon！,作詞：畑 亞貴<br>作曲・編曲：TAKUYA,LoveLive!サンシャイン!! CYaRon！1stフル專輯 C/W 曲,CYaRon!には珍しくシンプルなバンドサウンドでまとめた骨太な樂曲で、ギターリフが響くイントロが印象的。ホイッスルが鳴り駆け出す姿が思い浮かぶように、夢を叶えることや挑戰には思い切りが大事だと言うこと感じられる。<br>,2,201,jacket_2153,31002026,32002026,0,0,0,2021/06/02,1
2027,再來一份快樂人生！,再來一份快樂人生！,オカワリハッピーライフ,高海千歌(CV.伊波杏樹),"作詞：畑 亞貴<br>作曲：イワツボ コーダイ , TAKAROT , Shoma Yamamoto<br>編曲：Shoma Yamamoto , TAKAROT",Aqours Second Solo Concert Album LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Takami Chika,One More Sunshine 劇情の続編を思わせるミュージカル調の樂曲で、千歌曲の｢挑戰｣や｢成長｣といったのを経て先へ進む姿を｢おかわり(OKAWARI)」と表現している。<br>,2,290,jacket_2027,31002027,32002027,0,0,0,2021/08/01,1
2028,愛之螺旋塔,愛之螺旋塔,ラブスパイラルタワー,櫻內梨子(CV.逢田梨香子),"作詞：畑 亞貴<br>作曲・編曲：中村 步 , 菊池博人",Aqours Second Solo Concert Album LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Sakurauchi Riko,スウィングジャズ風のアプローチで思わず踊り出すような樂曲の上で、語りかけるような歌曲い方が特徴的。禁断の戀への道を「螺旋の塔」に例え、スリリングに駆け巡るような展開が繰り廣げられている。<br>,2,290,jacket_2028,31002028,32002028,0,0,0,2021/09/19,1
2029,驚奇旅行DNA,驚奇旅行DNA,アメイシンクトラヘルテイイエヌエエ,AZALEA,作詞：畑 亞貴<br>作曲・編曲：山田龍平,スマートフォン向けアプリ『LoveLive!學園偶像フェスティバル』コラボ單曲,未来へ步む姿を「旅(travel)」と例え、知らない世界を渡り步くかのように進んでいく。日常でまだ行ったことのないところへ旅行しに行く時などに聞くと歌曲詞とマッチする、AZALEAらしさの詰まったテクノポップ。<br>,2,202,jacket_2029,31002029,32002029,0,0,0,2019/12/11,1
2030,Aqours 海盜慾望,Aqours 海盜慾望,アクアハイレエツテサイアア,Aqours,"作詞：畑 亞貴<br>作曲：TAKAROT , イワツボコーダイ<br>編曲：TAKAROT",LoveLive!サンシャイン!! Aqours 6th LoveLive! ドームツアー主題曲CD<br>,海賊が財宝求めて海を旅する様子が描かれた今までのAqoursとは違う冒險要素が現れた樂曲。演唱會で披露された際にはAqours成員が旗を振る振りがあるが、渡邊曜役の斉藤朱夏が持つものは自分の體よりも大きく、それを振り回す様子が印象的。,2,200,jacket_2130,31002030,32002030,0,0,0,2020/07/22,1
2031,白日夢戰士,白日夢戰士,テイトリイムウオオリアア,Aqours,作詞：畑 亞貴<br>作曲：前口 渉<br>編曲：中土智博,「LoveLive!サンシャイン!!」TV動畫1期 Blu-ray 第4巻 録り下ろしAqoursオリジナルソングCD④,『LoveLive!サンシャイン!!』TV動畫1期 Blu-ray 第4巻 録り下ろしAqoursオリジナルソングCD④収録曲。善子センター樂曲。本格的なEDMスタイルの挑戰的な樂曲で、演唱會では間奏部分のキレのいいダンスや演唱會でしか聞けない特殊イントロなど見どころが多數存在する。,2,200,jacket_2031,31002031,32002031,0,0,0,2016/12/22,1
2032,G 弦上的灰姑娘,G 弦上的灰姑娘,シイセンシヨウノシンテレラ,"松浦果南(CV.諏訪ななか) , 黑澤黛雅(CV.小宮有紗) , 小原鞠莉(CV.鈴木愛奈)","作詞：畑 亞貴<br>作曲：石倉誉之<br>編曲：ラムシーニ , 石倉誉之",「LoveLive!サンシャイン!!」TV動畫1期 Blu-ray 第5巻 録り下ろしAqoursオリジナルソングCD⑤,"3年生3人が思い描いた「船のうえの,ダンスパーティ」が形となった歌曲。演唱會では3年生以外のAqours成員と手を取り合って踊る姿が印象的。ブロードウェイのミュージカルを彷彿とさせる樂器たちの躍動がたのしい樂曲。<br>",2,299,jacket_2032,31002032,32002032,0,0,0,2017/01/27,1
2033,驚險單行道,驚險單行道,スリリンクワンウエイ,Aqours,"作詞：畑 亞貴<br>作曲・編曲：藤井亮太 , 小高光太郎",「LoveLive!サンシャイン!!」TV動畫1期 Blu-ray 第6巻 録り下ろしAqoursオリジナルソングCD⑥,イントロの高海千歌曲の「私達！輝きたーい！」の魂の叫びから最後までただガムシャラに止まらず走り抜けるようなド直球ロックチューン。演唱會で披露されるCメロの激しいギター音とダンスは必見。<br>,2,200,jacket_2033,31002033,32002033,0,0,0,2017/02/24,1
2034,追逐太陽吧！,追逐太陽吧！,タイヨウヲオイカケロ,Aqours,作詞：畑 亞貴<br>作曲・編曲：松田彬人,「LoveLive!サンシャイン!!」TV動畫1期 Blu-ray 第7巻 録り下ろしAqoursオリジナルソングCD⑦,高海千歌曲の「Aqours集合〜」の掛け聲から、成員全員が号令しながら集まり太陽めがけて行進しながら進んでいくそんな樂曲。演唱會ではサビ部分で成員と手を横に振る一體感は見もの。<br>,2,200,jacket_2034,31002034,32002034,0,0,0,2017/03/24,1
2035,快樂派對列車,快樂派對列車,ハツヒイハアテイイトレイン,Aqours,作詞：畑 亞貴<br>作曲：渡邊拓也<br>編曲：EFFY,Aqours 3rd 單曲,Aqours 3rd單曲。センターポジション総選挙を経てセンターは松浦果南が担当。旅立ちを予感させる切ないメロディーと歌曲詞の世界觀が印象的。樂曲タイトルを掲げた2nd演唱會は初のツアーとなり、文字通り列車に乗って全國のファンの皆さんの元へ會いに行く事が出来た。,2,200,jacket_2035,31002035,32002035,0,0,0,2017/04/05,1
